gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn
1,1,1,1,0,6,1,29,14.227470422861144,5.0,3,0.02039794762085778,0.0,0
0,1,0,0,1,12,1,31,113.20293765105819,12.0,7,1.9229360550418195,1.9102435215196407,0
0,1,1,0,1,1,0,28,129.44847933200614,1.0,2,1.8590983473832376,1.7365018916344137,0
0,1,1,1,1,12,1,33,62.66986319123829,12.0,2,3.2056327682385,3.3572145130526616,0
1,1,1,1,1,1,0,26,198.36226543903683,1.0,3,1.1138844004257795,1.120078107422207,0
1,1,0,0,1,1,1,34,450.7439599104914,1.0,3,2.6234768072839807,2.6370069647681804,0
1,1,1,1,0,6,1,32,94.2663885148517,6.0,2,1.138941228411322,1.2772416305372298,0
0,1,0,0,1,1,0,30,217.78664105008903,1.0,0,1.2135019626583017,1.0493871451868677,1
1,1,1,1,1,1,1,23,45.409909202997675,1.0,1,1.106238932529013,1.0593329767364459,0
0,1,0,0,1,1,0,31,65.31083634086433,1.0,11,1.81085190458252,1.9513676552017305,0
0,1,0,0,0,6,1,32,229.70894524511127,6.0,3,1.6411796616862384,1.36771396663351,0
1,1,1,0,1,1,0,27,266.7838237446521,1.0,2,2.3485353357599856,1.5843158272716689,1
0,1,1,1,1,1,1,33,148.41805281528684,1.0,4,3.3686057499800075,3.3918531715752978,0
1,1,0,0,1,1,1,27,152.74866849929762,1.0,1,0.0,0.0,1
0,1,0,0,1,6,0,35,209.8881331905138,3.0,8,1.9780838180263882,2.117349155762039,0
0,1,1,1,1,12,0,29,101.37260415417305,10.0,4,2.850402196472184,2.836455259119332,0
0,1,1,1,1,1,1,31,11.975295259522355,1.0,0,3.3422611433294565,3.2062232230844008,0
0,1,0,1,1,6,1,29,92.78741424476028,5.0,1,0.6644824749922384,0.6099452944797018,0
0,1,0,0,1,1,1,30,97.80431525583174,1.0,8,1.50707557553785,1.5787380483152962,0
1,1,1,1,1,12,1,29,73.91754594762952,11.0,14,1.1413270096198054,1.1584545301683429,0
1,1,0,0,1,6,1,29,338.5968593027536,6.0,1,3.5635989884526174,3.479553072853101,0
0,0,0,0,1,1,0,30,153.19859377822274,1.0,3,0.6363818009615023,0.0,1
1,1,0,0,1,12,1,29,100.15813043665086,12.0,1,3.899715123776592,3.7098548788808037,0
1,1,0,0,1,1,1,32,276.0798821905471,1.0,1,1.4206371562255409,1.0431012098788572,1
0,1,0,1,0,6,0,27,179.55545728024344,6.0,6,3.393160619358797,3.2825153464860963,0
0,0,0,0,1,1,0,29,57.73000650327499,1.0,0,1.491187497274369,1.2468065037921203,1
0,1,1,0,1,6,0,29,167.87521108842424,6.0,5,3.311349561669348,3.2434118858397034,0
1,1,0,1,1,6,0,27,31.805389694141468,6.0,3,0.8242833135958354,0.7957610492318434,0
0,1,0,0,1,1,0,28,242.36650054262455,1.0,15,1.4594094470402328,1.3203716289772194,0
0,1,1,1,1,6,1,27,159.1489236862274,5.0,3,3.5115681790970164,3.528885687703054,0
0,1,1,0,1,1,1,32,44.67250817468889,1.0,1,1.7716919792557118,1.6878719123797667,0
0,1,0,0,1,12,1,32,87.85613947441288,12.0,1,0.0,0.0,0
0,1,0,0,1,12,0,32,131.114586424149,12.0,3,2.374935353569161,2.2650888942452982,0
0,1,1,1,1,12,0,29,208.9807514639272,12.0,12,3.0835027485045474,3.137978891402041,0
0,1,0,0,1,6,0,26,243.51068017558129,5.0,4,1.6950063019979729,1.6781187218678733,0
0,1,0,0,1,12,1,33,188.59086256820493,12.0,11,0.5611384840428737,0.5659106205423078,0
0,1,0,0,0,1,0,34,65.74274262265584,1.0,1,1.0699892680002354,1.0519945422537709,0
1,1,0,0,1,1,1,32,14.254721257839961,1.0,21,3.3723138038385403,3.3157149345500736,0
1,1,1,1,1,12,1,25,179.03883962297508,12.0,12,1.7949385766908976,1.716777789644885,0
1,1,0,1,0,6,1,35,233.2395478031676,6.0,0,1.270751504397165,1.2065910354788194,0
0,1,1,1,1,12,0,33,5.135184497156928,12.0,5,2.9452379650144063,3.008917866863644,0
0,1,1,1,0,1,0,25,161.60734904259368,1.0,1,0.8789498475034133,0.00924408116672415,1
0,1,0,0,1,12,0,36,108.90944277802252,12.0,1,2.046309893657255,2.0797042598139592,0
0,1,1,1,0,1,1,30,261.7131880951677,1.0,4,3.8633293186237836,3.8082617008204727,0
1,1,1,0,1,12,0,29,332.48904105476436,9.0,4,3.0714307544217,3.1128179561846077,0
1,1,1,0,1,6,0,29,139.34952378010922,6.0,8,1.391037096478528,1.3544371854288566,0
1,1,0,0,1,1,0,26,54.18423621080765,1.0,0,0.8540792567085165,0.0,1
1,1,1,1,1,6,0,33,115.09911772527741,6.0,3,3.3732375833283132,3.3783911776787003,0
1,1,0,1,1,1,1,25,152.95423818790002,1.0,12,2.915044970361457,2.8685849547070923,0
0,1,0,0,1,6,0,27,272.99718088898123,6.0,12,2.288928344890015,2.2043292947378545,0
1,1,0,0,1,1,0,33,204.2615056608934,1.0,6,1.8025185415587104,1.7216235470768095,0
1,0,1,0,1,1,0,29,373.066503119564,1.0,0,1.6858228409402505,1.6617420771398794,0
1,1,0,1,1,1,1,30,252.9156830285072,1.0,1,1.491547003063834,1.0592608497344491,1
0,1,0,0,1,6,1,24,1.754737156770652,4.0,6,3.0056564705977453,2.9871328008335536,0
0,1,0,0,1,12,1,23,34.972072319098174,11.0,3,0.029427566207866237,0.2131890921930141,0
0,1,1,1,0,1,0,30,194.6691783286323,1.0,4,1.8930153973176576,1.9009430377531884,0
1,1,0,0,1,6,1,30,134.4978468662896,6.0,2,1.6869872332841584,1.7088797675468983,0
0,1,0,0,1,6,1,27,236.9158278764984,6.0,0,0.9964930166420368,0.0,1
1,1,1,1,1,6,0,28,115.77487796084124,6.0,2,0.6335916085168876,0.7550997925776941,0
1,1,1,1,1,1,0,34,166.86275423620899,1.0,10,0.0,0.0,0
0,1,1,0,1,1,1,28,262.30956844586706,1.0,2,1.0266105076125682,0.9604870154524944,1
0,1,1,0,1,6,0,32,55.77441782254436,5.0,6,0.8135614904122801,0.8746773672175823,0
0,1,1,1,0,6,0,34,72.64111198794714,6.0,2,0.0,0.0,0
1,1,0,0,1,1,0,28,42.160809042705715,1.0,1,0.4250114097298257,0.6052465413331591,1
0,1,1,0,1,6,0,30,95.37852877345215,6.0,2,2.9173741573753875,2.968503817781418,0
1,1,1,1,1,1,1,31,163.9731019398782,1.0,6,1.4245181139541172,1.0359563100429756,0
0,1,0,0,1,1,0,28,35.110895275635045,1.0,1,1.704473441832295,0.8869797239670347,1
1,1,0,0,1,1,1,30,414.5433842898426,1.0,3,2.8483272840904283,2.8631626362637617,0
0,1,0,0,1,1,0,27,152.06524646464462,1.0,1,1.0757009693441617,1.5809020013086426,1
1,1,0,0,1,6,0,27,122.33561541666755,6.0,7,2.399736098485752,2.3397980647546905,0
1,1,1,0,0,1,0,27,228.0719505992239,1.0,0,1.7193771214690177,1.340513652956493,1
0,1,1,1,1,12,0,26,174.97805438258493,11.0,0,1.0616442534670267,1.0272294821392989,0
1,1,1,1,1,6,0,29,134.56411185989518,5.0,0,1.7258345652501248,0.8948147737986513,1
0,1,0,0,1,1,0,24,31.340568586282807,1.0,1,0.4650452286466966,0.0,1
1,1,0,0,1,1,0,24,215.40890983725217,1.0,2,1.7821071683054306,2.1269777129187504,1
1,0,0,0,1,1,0,30,8.39841697871205,1.0,2,1.8513134345335918,1.3633300281609189,1
1,0,0,0,1,1,1,30,249.51308813677917,1.0,2,0.8754402522144942,1.002298541581715,0
1,1,0,0,1,1,0,32,241.08037796680668,1.0,5,3.8249788306248718,4.1000039575190055,0
0,1,1,0,1,6,1,30,68.78617060962523,6.0,4,1.5220966434730856,1.6244360306453711,0
0,0,0,0,1,1,0,25,277.7136524685851,1.0,12,3.4116349557496166,3.3417801704179326,0
1,1,1,0,1,1,1,28,132.144631872878,1.0,1,3.7154929789970073,3.907798981498432,0
1,1,1,1,1,6,1,26,73.17954865693335,6.0,7,0.6317305922219072,0.7020948185059079,0
0,1,0,1,1,1,0,24,83.65564541127117,1.0,0,0.2689192695010907,0.10264897850772836,1
1,1,0,0,1,1,0,23,27.72516717934969,1.0,1,1.7405804733781518,1.1353422739039891,1
0,1,1,1,1,6,1,28,287.83547410585294,5.0,5,2.946074825900828,2.9358866076199304,0
1,1,1,1,1,1,0,25,34.33285789841679,1.0,3,0.11873387559726135,0.0,1
1,1,1,0,1,12,1,30,251.42859359073572,11.0,4,1.17374771802435,1.297812288876334,0
0,1,0,0,1,6,0,28,32.93942560366577,6.0,4,2.2465993825465067,2.3200048335825336,0
0,1,0,0,1,1,0,26,123.69663367051905,1.0,0,2.370527312090504,2.6467698174213514,1
1,0,1,0,1,1,0,27,22.33167910602752,1.0,5,0.47477651870494003,0.5025592116201367,0
1,1,1,0,1,12,1,26,28.737502094361183,10.0,4,1.4940636354312635,1.3973639760045613,0
1,0,0,0,0,1,0,28,168.77758597340758,1.0,6,2.191897557124226,2.1428509911826383,0
0,1,1,0,1,1,0,28,340.3376306136844,1.0,3,3.774787369574622,3.7568045419689895,0
0,1,1,1,1,1,0,31,6.075928811888389,1.0,1,2.484539409878816,1.3809612899308679,1
0,1,0,0,1,6,1,21,232.9395501524931,5.0,0,2.1754577652294564,1.3714960723553764,1
1,1,0,0,1,6,0,25,101.70260431483764,5.0,0,0.6698056577616651,0.363487178436626,1
1,1,1,0,1,6,0,30,179.12385201927108,6.0,3,2.9386727290689536,2.878774224056152,0
1,1,1,1,1,6,1,31,23.30183743832832,6.0,6,1.0401576639009331,0.9848822199189222,0
1,1,0,0,1,1,0,26,125.38696288946257,1.0,0,1.3809212509032245,0.2700311708744477,1
1,1,0,0,1,1,0,26,31.121602708977328,1.0,3,1.7469905991082242,1.0234742455518258,1
1,1,0,0,1,1,1,25,51.29686857062286,1.0,1,2.403919209995124,1.7781083831303015,1
0,1,0,0,1,1,0,29,83.36584987362376,1.0,0,1.0469816970769954,0.4700144165664834,1
0,1,1,1,1,1,0,33,16.749150128407233,1.0,1,2.9117440133190686,2.944011414458372,0
0,1,1,0,1,1,0,26,146.34070104575625,1.0,2,1.2115879578486268,0.9747216937180944,1
0,1,0,0,1,12,0,31,29.413970136594358,12.0,20,1.4514353286809352,1.4390183528850824,0
1,0,0,0,1,1,1,23,181.45971578175823,1.0,1,1.9281692678050049,1.5317336965826966,1
1,1,0,0,1,1,0,28,241.9959185318043,1.0,2,1.0152798205075948,1.067772138388974,0
0,1,1,1,1,12,1,34,114.96079547186243,9.0,1,2.6427719703469594,2.492826314363076,0
0,0,0,0,1,1,1,30,167.04449971423398,1.0,7,2.344395260080297,2.4936257662312507,0
0,1,1,1,1,12,1,29,59.803126535668106,12.0,6,2.275885466533244,2.531185530426696,0
0,1,0,0,1,12,1,27,234.7699295124091,11.0,4,5.410054460060277,5.3684153086386734,0
1,1,0,0,0,1,1,25,251.4583500319224,1.0,2,0.9557186352995468,0.3658752226727858,1
0,1,1,1,1,6,0,29,88.90794258372078,6.0,1,3.272647095890072,3.4071510162640744,0
1,1,1,1,1,12,1,29,205.4779368486628,12.0,9,2.745098447042129,2.733828018761546,0
0,1,1,1,1,12,1,32,258.6483831413877,12.0,2,0.9275427880054106,0.9283259966866128,0
1,1,1,0,1,1,0,31,191.38688101892743,1.0,2,1.818105337256105,1.822569193691037,0
1,1,1,1,1,6,0,33,131.59350534816556,4.0,2,1.6917685839133416,1.5514089576137582,0
0,0,0,0,1,1,0,23,59.16390792720026,1.0,0,0.5569303101938249,0.7016431375555228,1
1,0,0,0,1,1,0,32,301.6247074768349,1.0,3,1.208335701472376,0.6964942377807813,1
0,1,0,0,1,1,0,30,114.79801858351584,1.0,2,0.9923117660496328,0.6454407141065595,1
